"","namen","zip","betreuungsart","bfs"
"648","Tagesschule Thun-Neufeld","3604","Tagesschule",942
"649","Tagesschule Thun-OS Progymatte","3600","Tagesschule",942
"650","Tagesschule Thun-Pestalozzi","3600","Tagesschule",942
"651","Tagesschule Thunstetten-Bützberg","4922","Tagesschule",342
"652","Tagesschule Thurnen","3127","Tagesschule",876
"653","Tagesschule Toffen","3125","Tagesschule",884
"654","Tagesschule Treiten-Brüttelen-Müntschemier, Standort Brüttelen","3237","Tagesschule",491
"655","Tagesschule Treiten-Brüttelen-Müntschemier, Standort Müntschemier","3225","Tagesschule",498
"656","Tagesschule Treiten-Brüttelen-Müntschemier, Standort Treiten","3226","Tagesschule",500
"657","Tagesschule Trubschachen","3555","Tagesschule",909
"658","Tagesschule Twann-Tüscherz und Ligerz","2513","Tagesschule",756
"659","Tagesschule Uetendorf","3661","Tagesschule",944
"660","Tagesschule Unterseen","3800","Tagesschule",593
"661","Tagesschule Urtenen-Schönbühl","3322","Tagesschule",551
"662","Tagesschule Uttigen","3628","Tagesschule",885
"663","Tagesschule Utzenstorf-Bätterkinden","3315","Tagesschule",533
"664","Tagesschule Utzenstorf-Utzenstorf","3426","Tagesschule",401
"665","Tagesschule Vechigen","3067","Tagesschule",359
"666","Tagesschule Wald","3086","Tagesschule",888
"667","Tagesschule Walperswil","3272","Tagesschule",754
"668","Tagesschule Wangen a. d. Aare","3380","Tagesschule",992
"669","Tagesschule Wattenwil","3665","Tagesschule",886
"670","Tagesschule Wengen","3823","Tagesschule",584
"671","Tagesschule Wichtrach","3114","Tagesschule",632
"672","Tagesschule Wiedlisbach","4537","Tagesschule",995
"673","Tagesschule Wilderswil","3812","Tagesschule",594
"674","Tagesschule Wimmis","3752","Tagesschule",769
"675","Tagesschule Wohlen-Dorf","3033","Tagesschule",360
"676","Tagesschule Wohlen-Murzelen","3033","Tagesschule",360
"677","Tagesschule Wohlen-Oberstufenschule Hinterkappelen","3032","Tagesschule",360
"678","Tagesschule Wohlen-Uettligen","3043","Tagesschule",360
"679","Tagesschule Worb-Rüfenacht","3075","Tagesschule",627
"680","Tagesschule Worb-Worb","3076","Tagesschule",627
"681","Tagesschule Worben","3252","Tagesschule",755
"682","Tagesschule Zollikofen","3052","Tagesschule",361
"683","Tagesschule Zweisimmen","3770","Tagesschule",794
"684","Tagi libelle","3012","Kita",351
"685","Tagi Thun","3600","Kita",942
"686","Tartaruga","3012","Kita",351
"687","TEV Mitenand","3250","Tagesfamilie",306
"688","TipTap","3250","Kita",306
"689","Topolina","3011","Kita",351
"690","Verein Kinderbetreuung Ittigen kibit","3063","Tagesfamilie",362
"691","Verein Kinderhaus Erlach","3235","Ferienbetreuung",492
"692","Verein KiPlus, Tageselternvermittlung","3123","Tagesfamilie",861
"693","Verein Kita Kinderpunkt Oberdiessbach","3672","Kita",619
"694","Villa ChriBu","3400","Kita",404
"695","Villa Salamander","3032","Kita",360
"696","Villa Tagi","3007","Kita",351
"697","Vorkindergarten im Park","3008","Kita",351
"698","Waldkita Murifeld","3006","Kita",351
"699","Wohlen-Hinterkappelen","3032","Tagesschule",360
"700","Wunderhuus","3800","Kita",593
"701","Wunderland Kita","4934","Kita",332
"702","Zappelchischte","4932","Kita",331
"703","Zibalu und Zibalino","3098","Kita",355
"704","Zweisprachige Kindertagesstätte/Crèche municipale Ginkjo Evilard","2533","Kita",372
